In-Silico PCR Results Count,Sequence Length,Molecular Weight,nmol/A260,Micrograms/A260,Basic Tm,Salt Adjusted Tm,Nearest Neighbor Tm,A_Count,T_Count,G_Count,C_Count,GC Clamp,Self-Annealing,Hairpin Formation,Primer_Valid
,20,6216.1,4.92,30.56,56,51,65.43,6,2,8,4,1,1,1,1
1,20,6151.06,5.15,31.69,54,49,64.65,6,3,6,5,1,1,1,1
,20,6109.01,5.41,33.08,56,51,65.46,3,5,6,6,1,1,1,1
1,20,6176.07,5.04,31.1,56,51,65.03,6,2,7,5,1,1,1,1
,20,6120.04,4.96,30.36,54,49,64.58,7,2,5,6,1,1,1,1
1,20,6200.1,4.89,30.3,54,49,65.06,7,2,7,4,1,1,1,1
,20,6120.04,4.96,30.36,54,49,64.58,7,2,5,6,1,1,1,1
1,20,6100,5.68,34.62,56,51,64.85,2,6,6,6,1,1,1,1
,20,6012.95,5.56,33.41,54,49,64.68,4,5,3,8,1,1,1,1
1,20,6176.07,5.04,31.1,56,51,65.03,6,2,7,5,1,1,1,1
,20,6184.1,4.81,29.72,52,47,65.05,8,2,6,4,1,1,1,1
1,20,6262.14,4.88,30.58,54,49,65.2,5,4,9,2,1,1,1,1
,20,6120.04,4.96,30.36,54,49,64.58,7,2,5,6,1,1,1,1
1,20,6052.98,5.49,33.2,54,49,65.15,4,5,4,7,1,1,1,1
,20,6093.01,5.36,32.64,54,49,65.05,4,5,5,6,1,1,1,1
1,20,6052.98,5.49,33.2,54,49,65.15,4,5,4,7,1,1,1,1
,20,6093.01,5.3,32.29,54,49,65.04,4,5,5,6,1,1,1,1
1,20,6052.98,5.49,33.2,54,49,65.15,4,5,4,7,1,1,1,1
,20,6030.97,5.42,32.71,54,49,64.66,6,3,3,8,1,1,1,1
1,20,6105.02,5.06,30.86,56,51,65.35,7,1,5,7,1,1,1,1
,20,6099.02,5.4,32.91,52,47,65.16,3,7,5,5,1,1,1,1
1,20,6105.02,5.06,30.86,56,51,65.35,7,1,5,7,1,1,1,1
,20,6030.97,5.42,32.71,54,49,64.66,6,3,3,8,1,1,1,1
1,20,6155.05,5.35,32.95,54,49,65.29,2,7,7,4,1,1,1,1
,20,5923.88,5.74,34.03,54,49,65.56,3,6,1,10,1,1,1,1
1,20,6179.08,5.33,32.96,52,47,64.92,3,7,7,3,1,1,1,1
,20,5923.88,5.74,34.03,54,49,65.56,3,6,1,10,1,1,1,1
1,20,6195.08,5.26,32.61,54,49,65.54,2,7,8,3,1,1,1,1
,20,5923.88,5.74,34.03,54,49,65.56,3,6,1,10,1,1,1,1
1,20,6155.05,5.35,32.95,54,49,65.29,2,7,7,4,1,1,1,1
,20,6127.03,5.17,31.65,56,51,65.74,5,3,6,6,1,1,1,1
1,20,6155.05,5.35,32.95,54,49,65.29,2,7,7,4,1,1,1,1
,20,6127.03,5.19,31.81,56,51,65.76,5,3,6,6,1,1,1,1
1,20,6012.95,5.51,33.15,54,49,64.88,4,5,3,8,1,1,1,1
,20,6065.98,5.87,35.62,54,49,64.59,1,8,5,6,1,1,1,1
1,20,6124.03,5.4,33.08,54,49,65.14,3,6,6,5,1,1,1,1
,20,6102.02,5.27,32.17,54,49,65.23,5,4,5,6,1,1,1,1
1,20,6124.03,5.4,33.08,54,49,65.14,3,6,6,5,1,1,1,1
,20,6102.02,5.27,32.17,54,49,65.23,5,4,5,6,1,1,1,1
1,20,6003.94,5.67,34.04,54,49,64.59,3,6,3,8,1,1,1,1
,20,6065.98,5.87,35.62,54,49,64.59,1,8,5,6,1,1,1,1
1,20,6124.03,5.4,33.08,54,49,65.14,3,6,6,5,1,1,1,1
,20,6084,5.51,33.54,54,49,64.97,3,6,5,6,1,1,1,1
1,20,6093.01,5.32,32.39,54,49,65.2,4,5,5,6,1,1,1,1
,20,6139.05,5.43,33.31,52,47,64.74,3,7,6,4,1,1,1,1
1,20,5997.93,5.57,33.4,56,51,64.61,4,4,3,9,1,1,1,1
,20,6207.09,5.02,31.16,56,51,65.06,5,3,8,4,1,1,1,1
1,20,5997.93,5.57,33.4,56,51,64.61,4,4,3,9,1,1,1,1
,20,6139.05,5.43,33.31,52,47,64.74,3,7,6,4,1,1,1,1
1,20,6176.07,5,30.85,56,51,65.07,6,2,7,5,1,1,1,1
,20,6207.09,5.02,31.16,56,51,65.06,5,3,8,4,1,1,1,1
1,20,6176.07,5,30.85,56,51,65.07,6,2,7,5,1,1,1,1
,20,6139.05,5.43,33.31,52,47,64.74,3,7,6,4,1,1,1,1
1,20,6052.98,5.44,32.91,54,49,64.8,4,5,4,7,1,1,1,1
,20,6149.04,5.4,33.2,56,51,64.77,3,5,7,5,1,1,1,1
1,20,6061.99,5.27,31.97,54,49,64.8,5,4,4,7,1,1,1,1
,20,6149.04,5.4,33.2,56,51,64.77,3,5,7,5,1,1,1,1
1,20,6188.09,5.2,32.16,52,47,64.48,4,6,7,3,1,1,1,1
,20,6149.04,5.4,33.2,56,51,64.77,3,5,7,5,1,1,1,1
1,20,6197.1,5.09,31.57,52,47,64.48,5,5,7,3,1,1,1,1
,20,6149.04,5.4,33.2,56,51,64.77,3,5,7,5,1,1,1,1
1,20,6188.09,5.2,32.16,52,47,64.48,4,6,7,3,1,1,1,1
,20,6258.15,4.64,29.05,54,49,65.3,9,0,8,3,1,1,1,1
1,20,6136.04,5.09,31.24,56,51,64.88,6,2,6,6,1,1,1,1
,20,6027.97,5.49,33.07,52,47,64.7,4,6,3,7,1,1,1,1
1,20,6136.04,5.09,31.24,56,51,64.88,6,2,6,6,1,1,1,1
,20,5963.91,5.77,34.39,54,49,65.33,3,6,2,9,1,1,1,1
1,20,6136.04,5.09,31.24,56,51,64.88,6,2,6,6,1,1,1,1
,20,6126.05,5.07,31.05,52,47,65.18,6,4,5,5,1,1,1,1
1,20,6136.04,5.09,31.24,56,51,64.88,6,2,6,6,1,1,1,1
,20,6003.94,5.68,34.09,54,49,65.34,3,6,3,8,1,1,1,1
1,20,6136.04,5.09,31.24,56,51,64.88,6,2,6,6,1,1,1,1
,20,6126.05,5.12,31.34,52,47,63.96,6,4,5,5,1,1,1,1
1,20,6139.05,5.43,33.31,52,47,64.12,3,7,6,4,1,1,1,1
,22,6725.44,4.77,32.06,53,48,64.54,5,7,5,5,1,1,1,1
1,20,6132.06,5.19,31.81,50,45,63.13,5,6,5,4,1,1,1,1
,21,6406.22,5.03,32.21,54,49,64.38,5,5,5,6,1,1,1,1
1,20,6132.06,5.19,31.81,50,45,63.13,5,6,5,4,1,1,1,1
,21,6446.25,4.89,31.54,54,49,64.38,5,5,6,5,1,1,1,1
1,20,6132.06,5.19,31.81,50,45,63.13,5,6,5,4,1,1,1,1
,21,6437.24,5.05,32.49,54,49,64.38,4,6,6,5,1,1,1,1
1,20,6132.06,5.19,31.81,50,45,63.13,5,6,5,4,1,1,1,1
,21,6406.22,5.05,32.37,54,49,64.39,5,5,5,6,1,1,1,1
1,20,6191.09,4.94,30.57,54,49,65.12,6,3,7,4,1,1,1,1
,20,6274.15,4.68,29.35,56,51,65.11,8,0,9,3,1,1,1,1
1,20,6191.09,4.94,30.57,54,49,65.12,6,3,7,4,1,1,1,1
,20,6234.12,4.74,29.56,56,51,65.11,8,0,8,4,1,1,1,1
1,20,6191.09,4.94,30.57,54,49,65.12,6,3,7,4,1,1,1,1
,20,6265.14,4.8,30.05,56,51,65.11,7,1,9,3,1,1,1,1
1,20,6191.09,4.94,30.57,54,49,65.12,6,3,7,4,1,1,1,1
,20,6115.02,5.57,34.07,54,49,64.7,2,7,6,5,1,1,1,1
1,20,6191.09,4.94,30.57,54,49,65.12,6,3,7,4,1,1,1,1
,20,6124.03,5.4,33.07,54,49,64.7,3,6,6,5,1,1,1,1
1,20,6052.98,5.47,33.09,54,49,64.8,4,5,4,7,1,1,1,1
,20,6137.03,5.73,35.17,54,49,64.91,0,9,7,4,1,1,1,1
1,20,6052.98,5.47,33.09,54,49,64.8,4,5,4,7,1,1,1,1
,20,6186.07,5.46,33.75,54,49,64.92,1,8,8,3,1,1,1,1
1,20,6052.98,5.47,33.09,54,49,64.8,4,5,4,7,1,1,1,1
,20,6146.04,5.59,34.37,54,49,64.92,1,8,7,4,1,1,1,1
1,20,6052.98,5.47,33.09,54,49,64.8,4,5,4,7,1,1,1,1
,20,6068.98,5.61,34.02,56,51,64.76,3,5,5,7,1,1,1,1
1,20,6052.98,5.47,33.09,54,49,64.8,4,5,4,7,1,1,1,1
,20,5968.93,5.2,31.02,54,49,65.29,8,1,1,10,1,1,1,1
1,20,6240.13,4.73,29.49,54,49,64.77,7,2,8,3,1,1,1,1
,20,6124.03,5.39,33.03,54,49,64.26,3,6,6,5,1,1,1,1
1,20,6216.1,4.9,30.47,56,51,64.76,6,2,8,4,1,1,1,1
,20,6124.03,5.39,33.03,54,49,64.26,3,6,6,5,1,1,1,1
1,20,6216.1,4.9,30.47,56,51,64.76,6,2,8,4,1,1,1,1
,20,6124.03,5.39,33.03,54,49,64.26,3,6,6,5,1,1,1,1
1,20,6240.13,4.73,29.49,54,49,64.77,7,2,8,3,1,1,1,1
,20,6133.04,5.25,32.23,54,49,64.66,4,5,6,5,1,1,1,1
1,20,6240.13,4.73,29.49,54,49,64.77,7,2,8,3,1,1,1,1
,20,6093.01,5.37,32.72,54,49,64.66,4,5,5,6,1,1,1,1
1,20,6058,4.97,30.09,54,49,65.26,9,0,3,8,1,1,1,1
,20,6158.05,5.16,31.79,56,51,64.83,4,4,7,5,1,1,1,1
1,20,6058,4.97,30.09,54,49,65.26,9,0,3,8,1,1,1,1
,20,6158.05,5.16,31.79,56,51,64.83,4,4,7,5,1,1,1,1
1,20,6113.05,4.9,29.95,52,47,65.18,9,1,4,6,1,1,1,1
,20,6158.05,5.16,31.79,56,51,64.83,4,4,7,5,1,1,1,1
1,20,6082.03,4.81,29.25,52,47,64.57,10,0,3,7,1,1,1,1
,20,6158.05,5.16,31.79,56,51,64.83,4,4,7,5,1,1,1,1
1,20,6058,4.97,30.09,54,49,65.26,9,0,3,8,1,1,1,1
,20,6149.04,5.3,32.57,56,51,66.11,3,5,7,5,1,1,1,1
1,20,6213.1,5.1,31.68,54,49,64.68,4,5,8,3,1,1,1,1
,20,6265.14,4.73,29.62,56,51,64.61,7,1,9,3,1,1,1,1
1,20,6222.11,4.96,30.83,54,49,64.68,5,4,8,3,1,1,1,1
,20,6265.14,4.73,29.62,56,51,64.61,7,1,9,3,1,1,1,1
1,20,6030.97,5.29,31.93,54,49,65.09,6,3,3,8,1,1,1,1
,20,6265.14,4.73,29.62,56,51,64.61,7,1,9,3,1,1,1,1
1,20,6213.1,5.1,31.68,54,49,64.68,4,5,8,3,1,1,1,1
,20,6305.17,4.63,29.22,56,51,65.88,7,1,10,2,1,1,1,1
1,20,6222.11,4.96,30.83,54,49,64.68,5,4,8,3,1,1,1,1
,20,6305.17,4.63,29.22,56,51,65.88,7,1,10,2,1,1,1,1
1,20,6106.01,5.71,34.85,54,49,64.69,1,8,6,5,1,1,1,1
,20,6140.03,5.46,33.53,56,51,65.31,2,6,7,5,1,1,1,1
1,20,6115.02,5.53,33.8,54,49,64.69,2,7,6,5,1,1,1,1
,20,6140.03,5.46,33.53,56,51,65.31,2,6,7,5,1,1,1,1
1,20,6106.01,5.71,34.85,54,49,64.69,1,8,6,5,1,1,1,1
,20,5979.91,5.88,35.18,56,51,65.07,2,6,3,9,1,1,1,1
1,20,6115.02,5.53,33.8,54,49,64.69,2,7,6,5,1,1,1,1
,20,5979.91,5.88,35.18,56,51,65.07,2,6,3,9,1,1,1,1
1,20,6106.01,5.71,34.85,54,49,64.69,1,8,6,5,1,1,1,1
,20,6131.02,5.65,34.66,56,51,65.04,1,7,7,5,1,1,1,1
1,20,6142.05,5.2,31.94,54,49,64.41,5,4,6,5,1,1,1,1
,21,6412.23,5.11,32.78,52,47,63.95,4,7,5,5,1,1,1,1
1,20,6142.05,5.2,31.94,54,49,64.41,5,4,6,5,1,1,1,1
,21,6388.2,5.32,34,54,49,63.7,3,7,5,6,1,1,1,1
1,20,6142.05,5.2,31.94,54,49,64.41,5,4,6,5,1,1,1,1
,22,6701.41,4.97,33.27,55,50,65.05,4,7,5,6,1,1,1,1
1,20,6142.05,5.2,31.94,54,49,64.41,5,4,6,5,1,1,1,1
,22,6692.4,5.11,34.2,55,50,65.05,3,8,5,6,1,1,1,1
1,20,6142.05,5.2,31.94,54,49,64.41,5,4,6,5,1,1,1,1
,22,6701.41,4.97,33.27,55,50,65.05,4,7,5,6,1,1,1,1
1,20,6120.04,5.05,30.92,54,49,64.72,7,2,5,6,1,1,1,1
,20,6102.02,5.18,31.63,54,49,64.78,5,4,5,6,1,1,1,1
1,20,6120.04,5.05,30.92,54,49,64.72,7,2,5,6,1,1,1,1
,20,5994.93,5.86,35.12,54,49,65.09,2,7,3,8,1,1,1,1
1,20,5939.88,6.01,35.67,56,51,65.16,2,6,2,10,1,1,1,1
,20,6102.02,5.18,31.63,54,49,64.78,5,4,5,6,1,1,1,1
1,20,6278.14,4.98,31.25,56,51,65.14,4,4,10,2,1,1,1,1
,20,6102.02,5.18,31.63,54,49,64.78,5,4,5,6,1,1,1,1
1,20,6058,4.96,30.06,54,49,65.28,9,0,3,8,1,1,1,1
,20,6102.02,5.18,31.63,54,49,64.78,5,4,5,6,1,1,1,1
1,20,6200.1,4.88,30.26,54,49,64.75,7,2,7,4,1,1,1,1
,20,6102.02,5.17,31.53,54,49,64.9,5,4,5,6,1,1,1,1
1,20,6182.08,5.07,31.32,54,49,65.05,5,4,7,4,1,1,1,1
,20,6102.02,5.17,31.53,54,49,64.9,5,4,5,6,1,1,1,1
1,20,6249.14,4.74,29.62,54,49,64.98,8,1,8,3,1,1,1,1
,20,6049.98,5.72,34.63,52,47,64.42,2,8,4,6,1,1,1,1
1,20,6043.97,5.62,33.95,54,49,64.77,3,6,4,7,1,1,1,1
,20,6049.98,5.72,34.63,52,47,64.42,2,8,4,6,1,1,1,1
1,20,6115.02,5.54,33.9,54,49,65.06,2,7,6,5,1,1,1,1
,20,6049.98,5.72,34.63,52,47,64.42,2,8,4,6,1,1,1,1
1,20,6126.05,5.02,30.77,52,47,65.2,6,4,5,5,1,1,1,1
,20,6111.03,5.22,31.89,54,49,64.67,6,3,5,6,1,1,1,1
1,20,6102.02,5.27,32.15,54,49,64.39,5,4,5,6,1,1,1,1
,20,6111.03,5.22,31.89,54,49,64.67,6,3,5,6,1,1,1,1
1,20,5979.91,5.84,34.91,56,51,64.86,2,6,3,9,1,1,1,1
,20,6111.03,5.22,31.89,54,49,64.67,6,3,5,6,1,1,1,1
1,20,5930.87,6.18,36.63,56,51,64.86,1,7,2,10,1,1,1,1
,20,6111.03,5.22,31.89,54,49,64.67,6,3,5,6,1,1,1,1
1,20,6041.95,5.98,36.16,56,51,64.76,0,8,5,7,1,1,1,1
,20,6111.03,5.22,31.89,54,49,64.67,6,3,5,6,1,1,1,1
1,20,6111.03,5.14,31.42,54,49,64.98,6,3,5,6,1,1,1,1
,20,5972.92,5.71,34.11,54,49,64.82,4,5,2,9,1,1,1,1
1,20,6111.03,5.14,31.42,54,49,64.98,6,3,5,6,1,1,1,1
,20,6198.08,5.12,31.75,56,51,64.34,4,4,8,4,1,1,1,1
1,20,6111.03,5.14,31.42,54,49,64.98,6,3,5,6,1,1,1,1
,20,6030.97,5.28,31.86,54,49,65.1,6,3,3,8,1,1,1,1
1,20,6030.97,5.32,32.08,54,49,64.82,6,3,3,8,1,1,1,1
,20,5972.92,5.71,34.11,54,49,64.82,4,5,2,9,1,1,1,1
1,20,6030.97,5.32,32.08,54,49,64.82,6,3,3,8,1,1,1,1
,20,6198.08,5.12,31.75,56,51,64.34,4,4,8,4,1,1,1,1
1,20,5985.92,5.94,35.57,54,49,65.25,1,8,3,8,1,1,1,1
,20,6106.01,5.68,34.67,54,49,65.05,1,8,6,5,1,1,1,1
1,20,6025.95,5.81,34.99,54,49,65.22,1,8,4,7,1,1,1,1
,20,6106.01,5.68,34.67,54,49,65.05,1,8,6,5,1,1,1,1
1,20,5985.92,5.94,35.57,54,49,65.25,1,8,3,8,1,1,1,1
,20,6155.05,5.42,33.38,54,49,64.85,2,7,7,4,1,1,1,1
1,20,5985.92,5.94,35.57,54,49,65.25,1,8,3,8,1,1,1,1
,20,6164.06,5.26,32.43,54,49,64.85,3,6,7,4,1,1,1,1
1,20,6068.98,5.63,34.15,56,51,64.51,3,5,5,7,1,1,1,1
,20,6077.99,5.39,32.78,56,51,65.05,4,4,5,7,1,1,1,1
1,20,6278.14,4.94,30.99,56,51,65.49,4,4,10,2,1,1,1,1
,20,6173.07,5.15,31.8,54,49,65.27,4,5,7,4,1,1,1,1
1,20,6278.14,4.94,30.99,56,51,65.49,4,4,10,2,1,1,1,1
,20,6253.13,5.06,31.65,54,49,65.37,4,5,9,2,1,1,1,1
1,20,6278.14,4.94,30.99,56,51,65.49,4,4,10,2,1,1,1,1
,20,6235.11,5.3,33.02,54,49,65.37,2,7,9,2,1,1,1,1
1,20,6034.96,5.69,34.37,54,49,64.41,2,7,4,7,1,1,1,1
,20,6173.07,5.15,31.8,54,49,65.27,4,5,7,4,1,1,1,1
1,20,6025.95,5.91,35.59,54,49,64.41,1,8,4,7,1,1,1,1
,20,6173.07,5.15,31.8,54,49,65.27,4,5,7,4,1,1,1,1
1,20,6124.03,5.43,33.28,54,49,64.75,3,6,6,5,1,1,1,1
,20,6278.14,4.92,30.87,56,51,64.96,4,4,10,2,1,1,1,1
1,20,6124.03,5.41,33.14,54,49,64.86,3,6,6,5,1,1,1,1
,20,6278.14,4.92,30.87,56,51,64.96,4,4,10,2,1,1,1,1
1,20,6096.01,5.14,31.36,56,51,64.52,6,2,5,7,1,1,1,1
,20,6278.14,4.92,30.87,56,51,64.96,4,4,10,2,1,1,1,1
1,20,6229.1,5.13,31.94,56,51,65.31,3,5,9,3,1,1,1,1
,20,6278.14,4.92,30.87,56,51,64.96,4,4,10,2,1,1,1,1
1,20,6229.1,5.13,31.94,56,51,65.31,3,5,9,3,1,1,1,1
,20,6278.14,4.92,30.87,56,51,64.96,4,4,10,2,1,1,1,1
1,22,6707.42,5.07,34,53,48,63.76,3,9,5,5,1,1,1,1
,20,6133.04,5.37,32.96,54,49,64.7,4,5,6,5,1,1,1,1
1,22,6707.42,5.07,34,53,48,63.76,3,9,5,5,1,1,1,1
,20,5923.88,5.93,35.14,54,49,65.05,3,6,1,10,1,1,1,1
1,22,6707.42,5.07,34,53,48,63.76,3,9,5,5,1,1,1,1
,20,5923.88,5.97,35.35,54,49,65.06,3,6,1,10,1,1,1,1
1,22,6707.42,5.07,34,53,48,63.76,3,9,5,5,1,1,1,1
,20,6290.16,5.12,32.21,52,47,65.41,2,8,10,0,1,1,1,1
1,22,6707.42,5.07,34,53,48,63.76,3,9,5,5,1,1,1,1
,20,6149.04,5.39,33.15,56,51,65.09,3,5,7,5,1,1,1,1
1,20,6052.98,5.44,32.95,54,49,65.22,4,5,4,7,1,1,1,1
,20,6240.13,4.82,30.07,54,49,65.06,7,2,8,3,1,1,1,1
1,20,6052.98,5.44,32.95,54,49,65.22,4,5,4,7,1,1,1,1
,20,6136.04,5.05,30.96,56,51,65.27,6,2,6,6,1,1,1,1
1,20,6061.99,5.33,32.3,54,49,64.97,5,4,4,7,1,1,1,1
,20,6240.13,4.82,30.07,54,49,65.06,7,2,8,3,1,1,1,1
1,20,6061.99,5.33,32.3,54,49,64.97,5,4,4,7,1,1,1,1
,20,6136.04,5.05,30.96,56,51,65.27,6,2,6,6,1,1,1,1
1,20,6095.03,5.05,30.75,52,47,64.88,7,3,4,6,1,1,1,1
,20,6240.13,4.82,30.07,54,49,65.06,7,2,8,3,1,1,1,1
1,20,6311.18,4.75,29.98,54,49,65.59,6,3,10,1,1,1,1,1
,20,6019.94,5.79,34.88,56,51,64.79,2,6,4,8,1,1,1,1
1,20,6311.18,4.75,29.98,54,49,65.59,6,3,10,1,1,1,1,1
,20,5988.92,5.75,34.46,56,51,64.79,3,5,3,9,1,1,1,1
1,20,6195.08,5.37,33.29,54,49,64.7,2,7,8,3,1,1,1,1
,20,6019.94,5.79,34.88,56,51,64.79,2,6,4,8,1,1,1,1
1,20,6195.08,5.37,33.29,54,49,64.7,2,7,8,3,1,1,1,1
,20,5988.92,5.75,34.46,56,51,64.79,3,5,3,9,1,1,1,1
1,20,6311.18,4.75,29.98,54,49,65.59,6,3,10,1,1,1,1,1
,20,6003.94,5.69,34.15,54,49,65.1,3,6,3,8,1,1,1,1
1,20,6158.05,5.22,32.14,56,51,65.03,4,4,7,5,1,1,1,1
,20,6043.97,5.64,34.09,54,49,65.05,3,6,4,7,1,1,1,1
1,20,6244.12,5.09,31.79,54,49,65.09,3,6,9,2,1,1,1,1
,20,6043.97,5.64,34.09,54,49,65.05,3,6,4,7,1,1,1,1
1,20,6253.13,4.99,31.22,54,49,65.09,4,5,9,2,1,1,1,1
,20,6043.97,5.64,34.09,54,49,65.05,3,6,4,7,1,1,1,1
1,20,6207.09,4.98,30.9,56,51,64.75,5,3,8,4,1,1,1,1
,20,6043.97,5.64,34.09,54,49,65.05,3,6,4,7,1,1,1,1
1,20,6118.02,5.31,32.51,56,51,64.75,4,4,6,6,1,1,1,1
,20,6043.97,5.64,34.09,54,49,65.05,3,6,4,7,1,1,1,1
1,20,5966.91,5.52,32.91,56,51,65.45,5,3,2,10,1,1,1,1
,20,6189.07,5.23,32.35,56,51,64.8,3,5,8,4,1,1,1,1
1,20,5990.94,5.37,32.17,54,49,65.21,6,3,2,9,1,1,1,1
,20,6189.07,5.23,32.35,56,51,64.8,3,5,8,4,1,1,1,1
1,20,6136.04,5.05,31.01,56,51,65.17,6,2,6,6,1,1,1,1
,20,6189.07,5.23,32.35,56,51,64.8,3,5,8,4,1,1,1,1
1,20,6096.01,5.13,31.26,56,51,65.17,6,2,5,7,1,1,1,1
,20,6189.07,5.23,32.35,56,51,64.8,3,5,8,4,1,1,1,1
1,20,5966.91,5.52,32.91,56,51,65.45,5,3,2,10,1,1,1,1
,20,6034.96,5.85,35.33,54,49,65,2,7,4,7,1,1,1,1
1,20,6155.05,5.54,34.08,54,49,64.83,2,7,7,4,1,1,1,1
,20,6071,5.17,31.37,54,49,65.33,6,3,4,7,1,1,1,1
1,20,6155.05,5.54,34.08,54,49,64.83,2,7,7,4,1,1,1,1
,20,6030.97,5.29,31.91,54,49,65.33,6,3,3,8,1,1,1,1
1,20,6155.05,5.54,34.08,54,49,64.83,2,7,7,4,1,1,1,1
,20,5963.91,5.8,34.61,54,49,65.05,3,6,2,9,1,1,1,1
1,20,6155.05,5.54,34.08,54,49,64.83,2,7,7,4,1,1,1,1
,20,5994.93,5.9,35.39,54,49,64.73,2,7,3,8,1,1,1,1
1,20,6209.11,4.84,30.02,54,49,64.62,8,1,7,4,1,1,1,1
,20,6071,5.17,31.37,54,49,65.33,6,3,4,7,1,1,1,1
1,20,6077.01,5.37,32.64,52,47,64.23,5,5,4,6,1,1,1,1
,20,6086.02,5.18,31.55,52,47,64.48,6,4,4,6,1,1,1,1
1,20,6077.01,5.37,32.64,52,47,64.23,5,5,4,6,1,1,1,1
,20,6222.11,4.98,30.96,54,49,65.4,5,4,8,3,1,1,1,1
1,20,6077.01,5.37,32.64,52,47,64.23,5,5,4,6,1,1,1,1
,20,6133.04,5.32,32.61,54,49,65.26,4,5,6,5,1,1,1,1
1,20,6077.01,5.37,32.64,52,47,64.23,5,5,4,6,1,1,1,1
,20,6071,5.25,31.9,54,49,64.15,6,3,4,7,1,1,1,1
1,20,6095.03,5.13,31.27,52,47,64.07,7,3,4,6,1,1,1,1
,20,6222.11,4.98,30.96,54,49,65.4,5,4,8,3,1,1,1,1
1,21.285337365095767,6167.494030183388,4.737059375512665,31.342142987247968,53.93657484443946,46.558750636085136,63.876400337459735,4.723870323045713,7.694647525434213,3.9319307237070182,3.438074078530283,0,0,0,0
1,20.366519993103793,6297.969419341649,5.635759079340895,33.69003929961232,54.063359941471866,48.456812312993556,63.61843738966123,2.8731501565573705,7.165811604389069,6.574814582944615,7.8863889504540765,0,0,0,0
1,20.401359108565767,6694.799541393359,5.286233248330664,31.360815767884315,54.71971298923158,47.09625792691731,63.53994776770689,8.420691279,0.092952402,6.685634032249165,4.813660347863116,0,0,0,0
1,20.613107597193427,5975.766707939704,5.196972808905002,32.92709760864768,55.36911767202305,50.74935069894653,65.98332565558982,2.215977938238254,7.9658162252047955,9.801155051,4.41175469,0,0,0,0
1,20.41344342,6325.644624,5.088723013,36.035153162700276,54.20170621640486,46.16391455354307,64.02564956941275,3.1784626472767794,4.1029613444315824,2.6250449220130356,1.9727602184166393,0,0,0,0
1,20.230500171484614,6245.2228125899965,5.049858834977763,34.56240903998606,53.72884156,48.264911474753134,63.276871059203316,0.6025579702241535,4.515939888523665,3.701558013291706,1.441787082,0,0,0,0
1,21.564206338907667,6143.677891100086,5.260386025420956,30.73941304827072,51.288787501805096,45.86535637416656,65.89277993604819,6.916036617246998,3.9794614592245114,6.734780607966146,1.7721242871124487,0,0,0,0
1,20.91429762012688,6023.821464,5.332535854,34.03128873995995,55.19094676691289,50.70315383270398,65.83762601006056,8.603563327626679,6.919930688424868,4.166857837,1.5223857101548077,0,0,0,0
